category,feature,importance
genres,Action,0
genres,Adventure,0
genres,Animation,0
genres,Comedy,0
genres,Crime,0
genres,Documentary,0
genres,Drama,0
genres,Family,0
genres,Fantasy,0
genres,Foreign,0
genres,History,0
genres,Horror,0
genres,Music,0
genres,Mystery,0
genres,Romance,0
genres,Science Fiction,0
genres,TV Movie,0
genres,Thriller,0
genres,War,0
genres,Western,0
crew,Abbas Kiarostami,0
crew,Abel Ferrara,0
crew,Adam McKay,0
crew,Adam Shankman,0
crew,Adrian Lyne,0
crew,Aki Kaurismäki,0
crew,Akira Kurosawa,0
crew,Akiva Goldsman,0
crew,Akiva Schaffer,0
crew,Alain Resnais,0
crew,Alan J. Pakula,0
crew,Alan Parker,0
crew,Alan Taylor,0
crew,Albert Hughes,0
crew,Albert Magnoli,0
crew,Albert Pyun,0
crew,Alejandro Amenábar,0
crew,Alejandro González Iñárritu,0
crew,Alessandro Carloni,0
crew,Alex Kurtzman,0
crew,Alex Proyas,0
crew,Alfonso Cuarón,0
crew,Alfred Hitchcock,0
crew,Allen Hughes,0
crew,Anatole Litvak,0
crew,Andrei Konchalovsky,0
crew,Andrew Adamson,0
crew,Andrew Davis,0
crew,Andrew Stanton,0
crew,Andrew V. McLaglen,0
crew,Andrzej Bartkowiak,0
crew,Andy Tennant,0
crew,Ang Lee,0
crew,Angelina Jolie,0
crew,Angus MacLane,0
crew,Anthony Hemingway,0
crew,Anthony Mann,0
crew,Anthony Minghella,0
crew,Anthony Russo,0
crew,Anthony Stacchi,0
crew,Antoine Fuqua,0
crew,Antonio Margheriti,0
crew,Antony Hoffman,0
crew,Arthur Hiller,0
crew,Ash Brannon,0
crew,Babak Najafi,0
crew,Baltasar Kormákur,0
crew,Barry Cook,0
crew,Barry Levinson,0
crew,Barry Sonnenfeld,0
crew,Baz Luhrmann,0
crew,Ben Affleck,0
crew,Ben Stiller,0
crew,Betty Thomas,0
crew,Bibo Bergeron,0
crew,Bill Condon,0
crew,Billy Wilder,0
crew,Björn Stein,0
crew,Blake Edwards,0
crew,Bobby Farrelly,0
crew,Brad Bird,0
crew,Brad Lewis,0
crew,Brad Peyton,0
crew,Brad Silberling,0
crew,Breck Eisner,0
crew,Brenda Chapman,0
crew,Brett Ratner,0
crew,Brian De Palma,0
crew,Brian Fee,0
crew,Brian Helgeland,0
crew,Brian Levant,0
crew,Brian Robbins,0
crew,Brian Taylor,0
crew,Bronwen Hughes,0
crew,Bruce Beresford,0
crew,Bryan Singer,0
crew,Buster Keaton,0
crew,Byron Howard,0
crew,Cameron Crowe,0
crew,Carl Rinsch,0
crew,Carlo Verdone,0
crew,Carlos Saldanha,0
crew,Carlos Saura,0
crew,Cecil B. DeMille,0
crew,Cedric Nicolas-Troyan,0
crew,Chang Cheh,0
crew,Charles Band,0
crew,Charles Shyer,0
crew,Charlie Chaplin,0
crew,Chris Buck,0
crew,Chris Butler,0
crew,Chris Columbus,0
crew,Chris McKay,0
crew,Chris Miller,0
crew,Chris Renaud,0
crew,Chris Sanders,0
crew,Chris Wedge,0
crew,Chris Weitz,0
crew,Chris Williams,0
crew,Christopher McQuarrie,0
crew,Christopher Miller,0
crew,Christopher Nolan,0
crew,Chuck Jones,0
crew,Chuck Russell,0
crew,Clarence Brown,0
