crew_name
"Sydney Pollack"
"Oliver Stone"
"Martin Scorsese"
"Woody Allen"
"Ridley Scott"
"Stephen Frears"
"Wes Craven"
"John Woo"
"Clint Eastwood"
"Mike Nichols"
"Ron Howard"
"Abel Ferrara"
"Joel Schumacher"
"Luis Buñuel"
"Spike Lee"
"Lasse Hallström"
"Walter Hill"
"Herbert Ross"
"Barry Levinson"
"Roman Polanski"
"Tim Burton"
"James Ivory"
"Ken Loach"
"Claude Chabrol"
"Michael Apted"
"Albert Pyun"
"Norman Jewison"
"Peter Yates"
"Robert Altman"
"John Carpenter"
"Louis Malle"
"Steven Soderbergh"
"Brian De Palma"
"Michael Ritchie"
"John Irvin"
"Bruce Beresford"
"Sidney Lumet"
"Steven Spielberg"
"David Cronenberg"
"Jonathan Demme"
"Werner Herzog"
"Satyajit Ray"
"Jean-Luc Godard"
"Michael Winterbottom"
"Robert Z. Leonard"
"Francis Ford Coppola"
"Federico Fellini"
"Éric Rohmer"
"Arthur Hiller"
"John Frankenheimer"
"Sam Wood"
"George Cukor"
"Stanley Donen"
"Vincente Minnelli"
"Blake Edwards"
"Alfred Hitchcock"
"Frank Capra"
"Billy Wilder"
"Michael Curtiz"
"John Huston"
"William Wyler"
"Walter Lang"
"Joseph L. Mankiewicz"
"Ernst Lubitsch"
"William Keighley"
"Otto Preminger"
"George Stevens"
"W.S. Van Dyke"
"Howard Hawks"
"Michael Anderson"
"William A. Wellman"
"Henry Koster"
"Lewis Milestone"
"Richard Brooks"
"Frank Borzage"
"Robert Stevenson"
"Ken Annakin"
"Richard Fleischer"
"Robert Wise"
"Edward Dmytryk"
"Nicholas Ray"
"John Sturges"
"Anthony Mann"
"Vittorio De Sica"
"Norman Z. McLeod"
"Volker Schlöndorff"
"Wim Wenders"
"Akira Kurosawa"
"John Ford"
"Ingmar Bergman"
"Fritz Lang"
"Charlie Chaplin"
"J. Lee Thompson"
"Lars von Trier"
"David Lynch"
"Tsui Hark"
"Abbas Kiarostami"
"William Dieterle"
"Cecil B. DeMille"
"Jacques Tourneur"
"Charles Band"
"Gordon Douglas"
"Ishirô Honda"
"Michael Powell"
"William Castle"
"Mark Robson"
"Carlos Saura"
"Jim Wynorski"
"Terence Fisher"
"Sidney J. Furie"
"Don Siegel"
"Roger Corman"
"François Truffaut"
