movie_id,crew_name
11860,"Sydney Pollack"
10858,"Oliver Stone"
524,"Martin Scorsese"
11448,"Woody Allen"
10534,"Ridley Scott"
9095,"Stephen Frears"
12158,"Wes Craven"
9208,"John Woo"
688,"Clint Eastwood"
103,"Martin Scorsese"
11000,"Mike Nichols"
568,"Ron Howard"
34996,"Abel Ferrara"
414,"Joel Schumacher"
649,"Luis Buñuel"
20649,"Spike Lee"
18402,"Lasse Hallström"
65796,"Walter Hill"
9382,"Herbert Ross"
8984,"Barry Levinson"
10531,"Roman Polanski"
522,"Tim Burton"
87729,"James Ivory"
49980,"Ken Loach"
17961,"Claude Chabrol"
1945,"Michael Apted"
63105,"Albert Pyun"
241,"Oliver Stone"
9058,"Norman Jewison"
161495,"Peter Yates"
3586,"Robert Altman"
12122,"John Carpenter"
32636,"Louis Malle"
36141,"Steven Soderbergh"
1587,"Lasse Hallström"
10497,"Roman Polanski"
11382,"Woody Allen"
10731,"Joel Schumacher"
34152,"Spike Lee"
11596,"Wes Craven"
12280,"Ron Howard"
10395,"Mike Nichols"
2654,"John Carpenter"
10436,"Martin Scorsese"
26203,"Michael Apted"
4722,"Abel Ferrara"
6075,"Brian De Palma"
26261,"Michael Ritchie"
49299,"Abel Ferrara"
25440,"John Irvin"
37233,"Sydney Pollack"
35588,"Walter Hill"
41006,"Bruce Beresford"
4916,"Sidney Lumet"
2019,"John Woo"
31642,"Oliver Stone"
31643,"Barry Levinson"
329,"Steven Spielberg"
34024,"Steven Soderbergh"
1413,"David Cronenberg"
10440,"Woody Allen"
9559,"Clint Eastwood"
9800,"Jonathan Demme"
1245,"James Ivory"
424,"Steven Spielberg"
35233,"Michael Ritchie"
695,"Robert Altman"
78,"Ridley Scott"
268,"Tim Burton"
274,"Jonathan Demme"
88893,"Werner Herzog"
38884,"Ken Loach"
61752,"Spike Lee"
954,"Brian De Palma"
5801,"Satyajit Ray"
896,"Satyajit Ray"
221917,"Peter Yates"
8072,"Jean-Luc Godard"
185191,"Claude Chabrol"
48260,"Michael Winterbottom"
46063,"Bruce Beresford"
245268,"Robert Z. Leonard"
41007,"John Irvin"
7095,"Francis Ford Coppola"
41225,"Federico Fellini"
41225,"Louis Malle"
1645,"Joel Schumacher"
77056,"Éric Rohmer"
35206,"Luis Buñuel"
4837,"Éric Rohmer"
3595,"Ron Howard"
10061,"John Carpenter"
238,"Francis Ford Coppola"
23945,"Arthur Hiller"
22479,"Robert Altman"
9306,"John Frankenheimer"
3587,"Norman Jewison"
27854,"Sam Wood"
981,"George Cukor"
872,"Stanley Donen"
2769,"Vincente Minnelli"
13320,"Stanley Donen"
164,"Blake Edwards"
426,"Alfred Hitchcock"
567,"Alfred Hitchcock"
3078,"Frank Capra"
13528,"George Cukor"
213,"Alfred Hitchcock"
284,"Billy Wilder"
239,"Billy Wilder"
4808,"Stanley Donen"
289,"Michael Curtiz"
963,"John Huston"
11113,"George Cukor"
6620,"Billy Wilder"
804,"William Wyler"
26531,"Walter Lang"
909,"Vincente Minnelli"
599,"Billy Wilder"
705,"Joseph L. Mankiewicz"
22490,"George Cukor"
223,"Alfred Hitchcock"
25670,"Alfred Hitchcock"
303,"Alfred Hitchcock"
4174,"Alfred Hitchcock"
381,"Alfred Hitchcock"
20758,"Vincente Minnelli"
29376,"Vincente Minnelli"
1859,"Ernst Lubitsch"
18299,"Billy Wilder"
17281,"Vincente Minnelli"
64382,"Vincente Minnelli"
10907,"Michael Curtiz"
10907,"William Keighley"
1939,"Otto Preminger"
22292,"Joseph L. Mankiewicz"
3598,"Frank Capra"
198,"Ernst Lubitsch"
1712,"George Stevens"
3529,"W.S. Van Dyke"
3085,"Howard Hawks"
2897,"Michael Anderson"
1585,"Frank Capra"
3083,"Frank Capra"
900,"Howard Hawks"
43795,"George Stevens"
50001,"William A. Wellman"
40206,"Henry Koster"
260,"Alfred Hitchcock"
43488,"Lewis Milestone"
22613,"Howard Hawks"
488,"John Huston"
22733,"John Huston"
261,"Richard Brooks"
57575,"Richard Brooks"
32574,"Frank Capra"
22649,"Frank Borzage"
9333,"Walter Hill"
11306,"Michael Apted"
14136,"Robert Stevenson"
10869,"Robert Stevenson"
22660,"Robert Stevenson"
18444,"Ken Annakin"
20723,"Robert Stevenson"
173,"Richard Fleischer"
433,"Robert Stevenson"
12335,"Robert Stevenson"
15121,"Robert Wise"
41843,"James Ivory"
49471,"Spike Lee"
25147,"Michael Winterbottom"
9716,"Woody Allen"
819,"Barry Levinson"
66473,"George Stevens"
28120,"Edward Dmytryk"
1834,"Edward Dmytryk"
26282,"Nicholas Ray"
11561,"Woody Allen"
11302,"Woody Allen"
12614,"Blake Edwards"
21711,"Michael Ritchie"
11575,"Blake Edwards"
11331,"John Sturges"
521,"Alfred Hitchcock"
792,"Oliver Stone"
10537,"Oliver Stone"
601,"Steven Spielberg"
221,"Nicholas Ray"
21612,"Abel Ferrara"
11843,"Blake Edwards"
790,"John Carpenter"
1103,"John Carpenter"
104931,"Jean-Luc Godard"
31556,"Anthony Mann"
26167,"Anthony Mann"
26174,"Anthony Mann"
61461,"Vittorio De Sica"
218713,"Norman Z. McLeod"
659,"Volker Schlöndorff"
8074,"Jean-Luc Godard"
18129,"Stephen Frears"
1412,"Steven Soderbergh"
85,"Steven Spielberg"
389,"Sidney Lumet"
28,"Francis Ford Coppola"
144,"Wim Wenders"
769,"Martin Scorsese"
348,"Ridley Scott"
11645,"Akira Kurosawa"
10835,"John Woo"
539,"Alfred Hitchcock"
240,"Francis Ford Coppola"
3109,"John Ford"
1578,"Martin Scorsese"
703,"Woody Allen"
490,"Ingmar Bergman"
696,"Woody Allen"
37247,"Mike Nichols"
422,"Federico Fellini"
829,"Roman Polanski"
828,"Robert Wise"
3090,"John Huston"
832,"Fritz Lang"
5925,"John Sturges"
33,"Clint Eastwood"
982,"John Frankenheimer"
212,"Frank Capra"
914,"Charlie Chaplin"
910,"Howard Hawks"
665,"William Wyler"
89,"Steven Spielberg"
11257,"James Ivory"
8816,"Lasse Hallström"
983,"John Huston"
655,"Wim Wenders"
10341,"Wim Wenders"
27214,"Richard Fleischer"
49126,"Robert Wise"
571,"Alfred Hitchcock"
30346,"Robert Wise"
6114,"Francis Ford Coppola"
1598,"Martin Scorsese"
11349,"J. Lee Thompson"
7340,"Brian De Palma"
377,"Wes Craven"
145,"Lars von Trier"
152,"Robert Wise"
364,"Tim Burton"
55687,"Albert Pyun"
578,"Steven Spielberg"
75,"Tim Burton"
10896,"Barry Levinson"
46027,"Sidney Lumet"
1802,"Claude Chabrol"
4232,"Wes Craven"
66,"Clint Eastwood"
638,"David Lynch"
18420,"John Irvin"
11844,"Stephen Frears"
884,"David Cronenberg"
9405,"Tsui Hark"
77223,"Bruce Beresford"
330,"Steven Spielberg"
16375,"Steven Soderbergh"
415,"Joel Schumacher"
266,"Jean-Luc Godard"
754,"John Woo"
111367,"Jean-Luc Godard"
17834,"Michael Ritchie"
4421,"Ridley Scott"
10155,"Oliver Stone"
14905,"Michael Winterbottom"
11975,"Francis Ford Coppola"
61337,"Sidney Lumet"
11831,"Steven Spielberg"
2639,"Woody Allen"
8197,"Clint Eastwood"
4233,"Wes Craven"
9746,"Martin Scorsese"
586,"Barry Levinson"
10153,"Barry Levinson"
30949,"Volker Schlöndorff"
9558,"Abel Ferrara"
9440,"Mike Nichols"
62695,"Jonathan Demme"
9469,"Spike Lee"
12488,"Robert Altman"
78149,"Arthur Hiller"
30020,"Abbas Kiarostami"
49474,"Michael Winterbottom"
1389,"Steven Soderbergh"
28966,"William A. Wellman"
143,"Lewis Milestone"
43277,"Robert Z. Leonard"
43278,"William Dieterle"
34106,"Frank Capra"
43266,"John Ford"
27367,"William Wyler"
28580,"Billy Wilder"
887,"William Wyler"
27191,"Cecil B. DeMille"
1725,"Robert Wise"
10633,"Norman Jewison"
606,"Sydney Pollack"
380,"Barry Levinson"
403,"Bruce Beresford"
11485,"Woody Allen"
948,"John Carpenter"
12101,"Richard Fleischer"
19,"Fritz Lang"
17984,"Robert Stevenson"
346,"Akira Kurosawa"
859,"Stephen Frears"
841,"David Lynch"
11051,"Martin Scorsese"
242,"Francis Ford Coppola"
857,"Steven Spielberg"
16249,"Robert Stevenson"
18887,"Robert Stevenson"
24816,"Robert Stevenson"
34774,"Robert Stevenson"
10849,"Woody Allen"
678,"Jacques Tourneur"
5961,"Ingmar Bergman"
42121,"Bruce Beresford"
793,"David Lynch"
43037,"Robert Stevenson"
11335,"Robert Altman"
15943,"Robert Stevenson"
19762,"Robert Stevenson"
2619,"Ron Howard"
227,"Francis Ford Coppola"
87,"Steven Spielberg"
11336,"David Cronenberg"
8688,"Brian De Palma"
23954,"Louis Malle"
12761,"Ingmar Bergman"
396,"Mike Nichols"
16081,"Richard Fleischer"
11976,"Ridley Scott"
11557,"Joel Schumacher"
805,"Roman Polanski"
4011,"Tim Burton"
1580,"Alfred Hitchcock"
5854,"Alfred Hitchcock"
573,"Alfred Hitchcock"
2370,"Alfred Hitchcock"
5780,"Alfred Hitchcock"
506,"Alfred Hitchcock"
22527,"Alfred Hitchcock"
574,"Alfred Hitchcock"
11219,"Alfred Hitchcock"
30159,"Alfred Hitchcock"
845,"Alfred Hitchcock"
1978,"Alfred Hitchcock"
847,"Ron Howard"
117,"Brian De Palma"
37498,"Tsui Hark"
4175,"Alfred Hitchcock"
31667,"Alfred Hitchcock"
13321,"Alfred Hitchcock"
21734,"Alfred Hitchcock"
31997,"Alfred Hitchcock"
24197,"Alfred Hitchcock"
11462,"Alfred Hitchcock"
31995,"Alfred Hitchcock"
940,"Alfred Hitchcock"
2762,"Alfred Hitchcock"
12684,"Alfred Hitchcock"
2761,"Alfred Hitchcock"
8208,"Alfred Hitchcock"
52907,"Alfred Hitchcock"
15007,"Alfred Hitchcock"
36049,"Alfred Hitchcock"
52748,"Alfred Hitchcock"
75793,"Alfred Hitchcock"
47695,"Alfred Hitchcock"
31930,"Alfred Hitchcock"
20213,"Alfred Hitchcock"
543,"Alfred Hitchcock"
36054,"Alfred Hitchcock"
52782,"Alfred Hitchcock"
36055,"Alfred Hitchcock"
36056,"Alfred Hitchcock"
2760,"Alfred Hitchcock"
64398,"Alfred Hitchcock"
3525,"Mike Nichols"
2321,"Jonathan Demme"
16384,"Herbert Ross"
10699,"Stephen Frears"
11597,"Barry Levinson"
48311,"Charles Band"
14347,"Stanley Donen"
72987,"James Ivory"
8195,"John Frankenheimer"
11071,"Gordon Douglas"
1091,"John Carpenter"
10403,"Robert Altman"
11337,"Woody Allen"
162,"Tim Burton"
3121,"Robert Altman"
1955,"David Lynch"
39437,"Jonathan Demme"
9945,"John Carpenter"
19426,"Federico Fellini"
9466,"Woody Allen"
1678,"Ishirô Honda"
1680,"Ishirô Honda"
9749,"Michael Ritchie"
14628,"Michael Ritchie"
9626,"Richard Fleischer"
13698,"Ron Howard"
8879,"Clint Eastwood"
10328,"Ron Howard"
11904,"Barry Levinson"
13818,"Mike Nichols"
1363,"Stephen Frears"
9426,"David Cronenberg"
33278,"Wes Craven"
10013,"Francis Ford Coppola"
11873,"Martin Scorsese"
18588,"John Frankenheimer"
10015,"Clint Eastwood"
12715,"J. Lee Thompson"
45712,"Sidney Lumet"
8129,"Ken Loach"
11167,"Michael Powell"
8224,"Joel Schumacher"
1847,"Robert Altman"
8769,"John Carpenter"
14742,"Ron Howard"
15856,"William Castle"
10803,"Michael Anderson"
1705,"J. Lee Thompson"
1688,"J. Lee Thompson"
11123,"Mark Robson"
11772,"Robert Wise"
9540,"David Cronenberg"
10354,"Clint Eastwood"
16520,"Walter Lang"
11374,"Ron Howard"
65749,"Carlos Saura"
18764,"Tsui Hark"
