actor_name
"Tom Hanks"
"Wallace Shawn"
"Laurie Metcalf"
"R. Lee Ermey"
"Robin Williams"
"Kirsten Dunst"
"Bonnie Hunt"
"Angela Bassett"
"Mykelti Williamson"
"Wesley Snipes"
"Al Pacino"
"Robert De Niro"
"Val Kilmer"
"Jon Voight"
"Tom Sizemore"
"Hank Azaria"
"Danny Trejo"
"Jeremy Piven"
"Xander Berkeley"
"Philip Ettington"
"Jean-Claude Van Damme"
"Raymond J. Barry"
"Pierce Brosnan"
"Famke Janssen"
"Joe Don Baker"
"Alan Cumming"
"Tchéky Karyo"
"Minnie Driver"
"Michael Douglas"
"Michael J. Fox"
"Martin Sheen"
"David Paymer"
"Richard Dreyfuss"
"John Mahoney"
"Anthony Hopkins"
"Ed Harris"
"Bob Hoskins"
"Paul Sorvino"
"J.T. Walsh"
"James Woods"
"Kevin Dunn"
"Dan Hedaya"
"Bridgette Wilson"
"John Diehl"
"John C. McGinley"
"Matthew Modine"
"Maury Chaykin"
"Sharon Stone"
"Joe Pesci"
"Kevin Pollak"
"Richard Riehle"
"Emma Thompson"
"Hugh Grant"
"Tom Wilkinson"
"Tim Roth"
"Antonio Banderas"
Madonna
"Bruce Willis"
"Lili Taylor"
"Paul Calderon"
"Salma Hayek"
"Jim Carrey"
"Simon Callow"
"Bob Gunton"
"Woody Harrelson"
"Joe Grifasi"
"Bill Nunn"
"John Travolta"
"Gene Hackman"
"Danny DeVito"
"Dennis Farina"
"Delroy Lindo"
"James Gandolfini"
"Sylvester Stallone"
"Julianne Moore"
"Nicolas Cage"
"Elisabeth Shue"
"Christina Ricci"
"Rosie O'Donnell"
"Melanie Griffith"
"Demi Moore"
"Cloris Leachman"
"Janeane Garofalo"
"Brendan Fraser"
"Ron Perlman"
"Brad Pitt"
"Christopher Plummer"
"David Morse"
"Miriam Margolyes"
"James Cromwell"
"Susan Sarandon"
"Sean Penn"
"Robert Prosky"
"Margo Martindale"
"Jack Black"
"Nicole Kidman"
"Matt Dillon"
"Illeana Douglas"
"Wayne Knight"
"Holland Taylor"
"Winona Ryder"
"Anne Bancroft"
"Ellen Burstyn"
"Alfre Woodard"
"Rip Torn"
"Claire Danes"
"Richard Jenkins"
"Morgan Freeman"
"Gwyneth Paltrow"
"Kevin Spacey"
"Richard Schiff"
"Mark Boone Junior"
"Charles S. Dutton"
"Mel Gibson"
"David Ogden Stiers"
"Frank Welker"
"Jim Cummings"
"Gabriel Byrne"
"Chazz Palminteri"
"Pete Postlethwaite"
