movie_id,actor_name
862,"Tom Hanks"
862,"Wallace Shawn"
862,"Laurie Metcalf"
862,"R. Lee Ermey"
8844,"Robin Williams"
8844,"Kirsten Dunst"
8844,"Bonnie Hunt"
31357,"Angela Bassett"
31357,"Mykelti Williamson"
31357,"Wesley Snipes"
949,"Al Pacino"
949,"Robert De Niro"
949,"Val Kilmer"
949,"Jon Voight"
949,"Tom Sizemore"
949,"Mykelti Williamson"
949,"Hank Azaria"
949,"Danny Trejo"
949,"Jeremy Piven"
949,"Xander Berkeley"
949,"Philip Ettington"
9091,"Jean-Claude Van Damme"
9091,"Raymond J. Barry"
710,"Pierce Brosnan"
710,"Famke Janssen"
710,"Joe Don Baker"
710,"Alan Cumming"
710,"Tchéky Karyo"
710,"Minnie Driver"
9087,"Michael Douglas"
9087,"Michael J. Fox"
9087,"Martin Sheen"
9087,"David Paymer"
9087,"Richard Dreyfuss"
9087,"John Mahoney"
10858,"Anthony Hopkins"
10858,"Ed Harris"
10858,"Bob Hoskins"
10858,"David Paymer"
10858,"Paul Sorvino"
10858,"J.T. Walsh"
10858,"James Woods"
10858,"Kevin Dunn"
10858,"Dan Hedaya"
10858,"Bridgette Wilson"
10858,"John Diehl"
10858,"John C. McGinley"
1408,"Matthew Modine"
1408,"Maury Chaykin"
524,"Robert De Niro"
524,"Sharon Stone"
524,"Joe Pesci"
524,"James Woods"
524,"Kevin Pollak"
524,"Richard Riehle"
4584,"Emma Thompson"
4584,"Hugh Grant"
4584,"Tom Wilkinson"
5,"Tim Roth"
5,"Antonio Banderas"
5,Madonna
5,"Bruce Willis"
5,"Lili Taylor"
5,"Paul Calderon"
5,"Salma Hayek"
9273,"Jim Carrey"
9273,"Simon Callow"
9273,"Bob Gunton"
11517,"Wesley Snipes"
11517,"Woody Harrelson"
11517,"Joe Grifasi"
11517,"Bill Nunn"
8012,"John Travolta"
8012,"Gene Hackman"
8012,"Danny DeVito"
8012,"Dennis Farina"
8012,"Delroy Lindo"
8012,"James Gandolfini"
8012,"David Paymer"
9691,"Sylvester Stallone"
9691,"Antonio Banderas"
9691,"Julianne Moore"
451,"Nicolas Cage"
451,"Elisabeth Shue"
451,"Laurie Metcalf"
9263,"Christina Ricci"
9263,"Rosie O'Donnell"
9263,"Melanie Griffith"
9263,"Demi Moore"
9263,"Cloris Leachman"
9263,"Janeane Garofalo"
9263,"Hank Azaria"
9263,"Bonnie Hunt"
9263,"Brendan Fraser"
902,"Ron Perlman"
63,"Bruce Willis"
63,"Brad Pitt"
63,"Christopher Plummer"
63,"David Morse"
9598,"Miriam Margolyes"
9598,"James Cromwell"
687,"Susan Sarandon"
687,"Sean Penn"
687,"Robert Prosky"
687,"Raymond J. Barry"
687,"R. Lee Ermey"
687,"Margo Martindale"
687,"Jack Black"
9312,"Bridgette Wilson"
577,"Nicole Kidman"
577,"Matt Dillon"
577,"Illeana Douglas"
577,"Dan Hedaya"
577,"Wayne Knight"
577,"Holland Taylor"
11861,"Winona Ryder"
11861,"Anne Bancroft"
11861,"Ellen Burstyn"
11861,"Alfre Woodard"
11861,"Rip Torn"
11861,"Claire Danes"
11861,"Holland Taylor"
11861,"Richard Jenkins"
11861,"Mykelti Williamson"
807,"Brad Pitt"
807,"Morgan Freeman"
807,"Gwyneth Paltrow"
807,"John C. McGinley"
807,"Kevin Spacey"
807,"R. Lee Ermey"
807,"Richard Schiff"
807,"Mark Boone Junior"
807,"Charles S. Dutton"
10530,"Mel Gibson"
10530,"David Ogden Stiers"
10530,"Frank Welker"
10530,"Jim Cummings"
629,"Gabriel Byrne"
629,"Chazz Palminteri"
629,"Kevin Pollak"
629,"Pete Postlethwaite"
629,"Kevin Spacey"
629,"Giancarlo Esposito"
629,"Dan Hedaya"
11448,"Woody Allen"
11448,"Mira Sorvino"
11448,"Helena Bonham Carter"
11448,"F. Murray Abraham"
11448,"Michael Rapaport"
11448,"David Ogden Stiers"
11448,"Jack Warden"
755,"Harvey Keitel"
755,"Juliette Lewis"
755,"Salma Hayek"
755,"Danny Trejo"
11859,"Christopher McDonald"
11859,"Salma Hayek"
11859,"Dan Hedaya"
11859,"Dan Hedaya"
36929,"Rick Moranis"
36929,"Tom Arnold"
36929,"Carol Kane"
36929,"Jeffrey Tambor"
400,"Andy García"
400,"Christopher Lloyd"
400,"William Forsythe"
400,"Bill Nunn"
400,"Jack Warden"
400,"Steve Buscemi"
400,"Christopher Walken"
10534,"Jeff Bridges"
10534,"John Savage"
10534,"Ethan Embry"
2086,"Johnny Depp"
2086,"Charles S. Dutton"
2086,"Christopher Walken"
9095,"Julia Roberts"
9095,"John Malkovich"
9095,"Michael Gambon"
9095,"Glenn Close"
12158,"Eddie Murphy"
12158,"Angela Bassett"
9208,"John Travolta"
9208,"Christian Slater"
9208,"Delroy Lindo"
9208,"Bob Gunton"
13685,"James Caan"
9614,"Ben Stiller"
9614,"Christopher McDonald"
688,"Meryl Streep"
688,"Clint Eastwood"
688,"Debra Monk"
197,"Mel Gibson"
197,"Brian Cox"
103,"Robert De Niro"
103,"Harvey Keitel"
103,"Jodie Foster"
103,"Peter Boyle"
103,"Albert Brooks"
103,"Victor Argo"
33542,"Jackie Chan"
78406,"Andy García"
78406,"Alan Arkin"
78406,"Joe Pantoliano"
78406,"David Ogden Stiers"
78406,"Holland Taylor"
11066,"Eddie Murphy"
11066,"Halle Berry"
2074,"Ben Stiller"
2074,"Patricia Arquette"
2074,"Lily Tomlin"
2074,"Richard Jenkins"
11863,"Chazz Palminteri"
11000,"Robin Williams"
11000,"Gene Hackman"
11000,"Dianne Wiest"
11000,"Hank Azaria"
9737,"Tchéky Karyo"
9737,"Joe Pantoliano"
9737,"Michael Imperioli"
9737,"Anna Levine"
9737,"Kevin Corrigan"
22279,"Hugh Grant"
568,"Tom Hanks"
568,"Bill Paxton"
568,"Kevin Bacon"
568,"Ed Harris"
568,"Kathleen Quinlan"
568,"Xander Berkeley"
568,"Clint Howard"
11780,"Liam Neeson"
11780,"Jessica Lange"
11780,"John Hurt"
11780,"Tim Roth"
11780,"Eric Stoltz"
11780,"Brian Cox"
414,"Val Kilmer"
414,"Tommy Lee Jones"
414,"Jim Carrey"
414,"Nicole Kidman"
414,"Chris O'Donnell"
414,"Pat Hingle"
414,"Drew Barrymore"
414,"Debi Mazar"
414,"Joe Grifasi"
5894,"Harvey Keitel"
5894,"Michael J. Fox"
5894,"Lily Tomlin"
5894,"Giancarlo Esposito"
5894,Madonna
5894,"Mira Sorvino"
5894,"Keith David"
5894,"Victor Argo"
5894,"Jared Harris"
1775,"John Candy"
1775,"Kevin Pollak"
1775,"Rip Torn"
1775,"Bill Nunn"
1775,"Jim Belushi"
1775,"Wallace Shawn"
1775,"Dan Aykroyd"
8839,"Christina Ricci"
8839,"Bill Pullman"
8839,"Cathy Moriarty"
8839,"Dan Aykroyd"
8839,"Clint Eastwood"
8839,"Mel Gibson"
20649,"Harvey Keitel"
20649,"John Turturro"
20649,"Delroy Lindo"
20649,"Keith David"
20649,"Michael Imperioli"
20649,"Paul Calderon"
20649,"Mike Starr"
20649,"Spike Lee"
20649,"Michael Badalucco"
10329,"Ernie Hudson"
10329,"Tim Curry"
10329,"Joe Don Baker"
10329,"Mary Ellen Trainor"
10329,"Delroy Lindo"
10329,"Joe Pantoliano"
8963,"Denzel Washington"
8963,"Gene Hackman"
8963,"Viggo Mortensen"
8963,"James Gandolfini"
8963,"Steve Zahn"
8068,"Antonio Banderas"
8068,"Salma Hayek"
8068,"Steve Buscemi"
8068,"Danny Trejo"
8512,"Denzel Washington"
8512,"Tom Sizemore"
8512,"Maury Chaykin"
1572,"Bruce Willis"
1572,"Samuel L. Jackson"
1572,"Colleen Camp"
6520,"Sean Connery"
6520,"Richard Gere"
6520,"John Gielgud"
10428,"Matthew Lillard"
9886,"Keanu Reeves"
9886,"Udo Kier"
9482,"Sylvester Stallone"
9482,"Rob Schneider"
9482,"Max von Sydow"
9071,"Steve Buscemi"
9071,"Kevin Corrigan"
2293,"Ben Affleck"
2293,"Michael Rooker"
1642,"Sandra Bullock"
36196,"Parker Posey"
36196,"Liev Schreiber"
11980,"Christopher Walken"
11980,"Elias Koteas"
11980,"Eric Stoltz"
11980,"Viggo Mortensen"
10533,"Demi Moore"
10533,"Gary Oldman"
10533,"Robert Duvall"
10533,"Robert Prosky"
10533,"Joan Plowright"
10802,"Gina Gershon"
10149,"Harvey Keitel"
10149,"William Hurt"
10149,"Giancarlo Esposito"
10149,"Jared Harris"
10149,"Forest Whitaker"
10149,"Stockard Channing"
10149,"Victor Argo"
9348,"Ben Kingsley"
9348,"Michael Madsen"
9348,"Alfred Molina"
9348,"Forest Whitaker"
9348,"Frank Welker"
281,"Angela Bassett"
281,"Tom Sizemore"
281,"Juliette Lewis"
281,"Vincent D'Onofrio"
281,"Richard Edson"
79593,"Daryl Hannah"
9560,"Keanu Reeves"
9804,"Kevin Costner"
9804,"Dennis Hopper"
9804,"Jack Black"
9804,"Michael Jeter"
11017,"Bridgette Wilson"
11017,"Bradley Whitford"
11017,"Steve Buscemi"
9382,"Whoopi Goldberg"
9382,"Drew Barrymore"
9382,"Matthew McConaughey"
9382,"James Remar"
1909,"Johnny Depp"
1909,"Faye Dunaway"
8984,"Michael Douglas"
8984,"Demi Moore"
8984,"Donald Sutherland"
8984,"Donal Logue"
8467,"Jim Carrey"
8467,"Jeff Daniels"
8467,"Mike Starr"
522,"Johnny Depp"
522,"Martin Landau"
