movie_id,genres_name
862,Animation
862,Comedy
862,Family
8844,Adventure
8844,Fantasy
8844,Family
31357,Comedy
31357,Drama
31357,Romance
949,Action
949,Crime
949,Drama
949,Thriller
9091,Action
9091,Adventure
9091,Thriller
710,Adventure
710,Action
710,Thriller
9087,Comedy
9087,Drama
9087,Romance
10858,History
10858,Drama
1408,Action
1408,Adventure
524,Drama
524,Crime
4584,Drama
4584,Romance
5,Crime
5,Comedy
9273,Crime
9273,Comedy
9273,Adventure
11517,Action
11517,Comedy
11517,Crime
8012,Comedy
8012,Thriller
8012,Crime
9691,Action
9691,Adventure
9691,Crime
9691,Thriller
451,Drama
451,Romance
9263,Comedy
9263,Drama
9263,Family
902,Fantasy
902,"Science Fiction"
902,Adventure
63,"Science Fiction"
63,Thriller
63,Mystery
9598,Fantasy
9598,Drama
9598,Comedy
9598,Family
687,Drama
9312,Action
9312,Fantasy
577,Fantasy
577,Drama
577,Comedy
577,Thriller
11861,Drama
11861,Romance
807,Crime
807,Mystery
807,Thriller
10530,Adventure
10530,Animation
10530,Drama
10530,Family
629,Drama
629,Crime
629,Thriller
11448,Comedy
11448,Romance
10634,Comedy
755,Horror
755,Action
755,Thriller
755,Crime
11859,Action
11859,Thriller
11859,Romance
36929,Comedy
36929,Family
9102,Horror
9102,"Science Fiction"
400,Drama
400,Crime
10534,Action
10534,Drama
2086,Crime
2086,Drama
2086,Thriller
9095,Drama
9095,Horror
9095,Thriller
9095,Romance
12158,Comedy
12158,Horror
12158,Romance
9208,Action
9208,Adventure
9208,Drama
9208,Thriller
13685,Comedy
13685,Crime
13685,Drama
9614,Comedy
688,Drama
688,Romance
197,Action
197,Drama
197,History
197,War
103,Crime
103,Drama
33542,Crime
33542,Action
33542,Comedy
33542,Thriller
78406,Comedy
78406,Drama
11066,Comedy
11066,Romance
2074,Comedy
2074,Romance
11863,Action
11863,Thriller
11863,Mystery
11863,Romance
11000,Comedy
9737,Action
9737,Comedy
9737,Crime
9737,Thriller
22279,Romance
22279,Drama
22279,Comedy
568,Drama
11780,Adventure
414,Action
414,Crime
414,Fantasy
5894,Comedy
1775,Action
1775,Comedy
8839,Fantasy
8839,Comedy
8839,Family
20649,Mystery
20649,Crime
20649,Drama
10329,Action
10329,Adventure
10329,Drama
10329,Mystery
10329,"Science Fiction"
10329,Thriller
8963,Action
8963,Thriller
8963,Drama
8068,Thriller
8068,Action
8068,Crime
8512,Drama
8512,Mystery
8512,Thriller
1572,Action
1572,Thriller
6520,Action
6520,Adventure
6520,Drama
6520,Romance
10428,Action
10428,Crime
10428,Thriller
10428,Drama
9886,Adventure
9886,Action
9886,Drama
9886,"Science Fiction"
9886,Thriller
9482,"Science Fiction"
9344,Drama
9344,Crime
9071,Drama
9071,Comedy
2293,Romance
2293,Comedy
9070,Action
9070,Adventure
9070,"Science Fiction"
9070,Family
9070,Fantasy
48787,Thriller
48787,Foreign
1642,Crime
1642,Drama
1642,Mystery
1642,Thriller
1642,Action
36196,Comedy
11980,Fantasy
11980,Horror
11980,Thriller
10533,Drama
10533,History
10533,Romance
10802,Drama
10149,Comedy
10149,Drama
9348,"Science Fiction"
9348,Horror
9348,Action
281,Crime
281,Drama
281,"Science Fiction"
281,Thriller
79593,Thriller
3512,Action
3512,Thriller
9560,Drama
9560,Romance
9804,Adventure
9804,Action
50797,Drama
76,Drama
76,Romance
11017,Comedy
9382,Comedy
9382,Drama
2292,Comedy
1909,Romance
1909,Drama
1909,Comedy
8984,Drama
8984,Thriller
8984,Crime
8984,Mystery
8984,Romance
8467,Comedy
522,Comedy
522,Drama
522,History
27303,Drama
27303,Thriller
14275,Documentary
1024,Drama
1024,Fantasy
17207,Comedy
17207,Family
628,Horror
628,Romance
87729,Drama
87729,Romance
6280,Comedy
6280,Family
6280,Romance
11,Adventure
11,Action
11,"Science Fiction"
18183,Drama
18183,Romance
4476,Adventure
4476,Drama
4476,Romance
4476,War
28313,Drama
3036,Drama
3036,Horror
3036,"Science Fiction"
3036,Romance
17402,Comedy
17402,Romance
1945,Drama
1945,Thriller
241,Crime
241,Thriller
241,Drama
6950,Action
6950,Drama
6950,"Science Fiction"
6950,Thriller
101,Thriller
101,Crime
101,Drama
63020,Comedy
63020,Drama
63020,Romance
680,Thriller
680,Crime
25296,Comedy
25296,Drama
12106,Action
12106,Western
161495,Drama
161495,Comedy
3586,Drama
3586,Comedy
22586,Animation
2636,Action
2636,Thriller
2164,Action
2164,Adventure
2164,"Science Fiction"
11395,Fantasy
11395,Drama
11395,Comedy
11395,Family
278,Drama
278,Crime
9067,Action
9067,Comedy
9067,Fantasy
9067,"Science Fiction"
193,"Science Fiction"
193,Action
193,Adventure
193,Thriller
25066,Crime
25066,Horror
25066,Thriller
1587,Romance
1587,Drama
9271,Action
9271,Crime
9271,"Science Fiction"
9271,Thriller
2064,Comedy
2064,Drama
2064,Romance
236,Drama
236,Comedy
236,Romance
3049,Comedy
3049,Mystery
10497,Thriller
10497,Drama
10497,Romance
9331,Action
9331,Drama
9331,Thriller
10731,Drama
10731,Thriller
10731,Crime
10731,Mystery
9495,Fantasy
9495,Action
9495,Thriller
888,Fantasy
888,Comedy
888,Family
13,Comedy
13,Drama
13,Romance
712,Comedy
712,Drama
712,Romance
10879,Action
10879,Comedy
10879,Romance
8587,Family
8587,Animation
8587,Drama
1689,Drama
1689,History
11596,Horror
11596,Thriller
11596,Mystery
11596,Fantasy
854,Romance
854,Comedy
854,Crime
854,Fantasy
36593,Comedy
36593,Crime
2788,Drama
10427,Crime
10427,Drama
10427,Thriller
1637,Action
1637,Adventure
1637,Crime
8831,Thriller
8831,"Science Fiction"
8831,Action
8831,Crime
36955,Action
36955,Thriller
12160,Drama
12160,Action
12160,Western
26352,Action
26352,Comedy
26352,Crime
22067,Crime
22067,Drama
22067,Romance
11667,Action
11667,Adventure
11667,Thriller
8011,Action
8011,Fantasy
8011,"Science Fiction"
2654,Horror
2654,Mystery
2654,Thriller
10436,Drama
10436,Romance
46094,Comedy
46094,Family
306,Action
306,Comedy
306,Crime
4722,Horror
4722,"Science Fiction"
4722,Thriller
1607,Drama
1607,Crime
117553,Drama
117553,Comedy
6075,Action
6075,Crime
6075,Drama
6075,Thriller
9350,Action
9350,Adventure
9350,Thriller
2124,Drama
2124,Mystery
2124,Romance
2124,Thriller
9571,Comedy
9571,Drama
9739,Crime
9739,Action
9739,"Science Fiction"
9024,Comedy
9024,Romance
37233,Drama
37233,Mystery
37233,Thriller
1634,Family
1634,Adventure
5503,Adventure
5503,Action
5503,Thriller
5503,Crime
5503,Mystery
35588,History
35588,Action
35588,Drama
35588,Western
2019,Action
2019,Adventure
2019,Crime
2019,Thriller
9255,Action
9255,Comedy
9255,War
9386,Action
9386,Drama
9386,Thriller
9386,Crime
9386,Mystery
7984,Drama
329,Adventure
329,"Science Fiction"
10909,Thriller
10909,Crime
507,Action
507,Crime
507,Drama
507,Thriller
9593,Adventure
9593,Fantasy
9593,Action
9593,Comedy
9593,Family
10440,Comedy
10440,Mystery
9516,Drama
9516,Action
9516,Crime
2320,Action
2320,Adventure
