movie_id,ProfitabilityPct,budget,budgetbin,Profitable
220,400,1,0,1
473,5268.586666666667,60000,0,1
692,49900,12000,0,1
985,69900,10000,0,1
1435,532933.9449541284,218,0,1
1613,-50,28,0,0
1626,-61.692187499999996,64000,0,0
2292,11570.851851851852,27000,0,1
2667,413233.3333333333,60000,0,1
3082,849999900,1,0,1
5721,7794.736842105263,76000,0,1
8653,-57.85,50000,0,0
8856,101861828.31858407,113,0,1
9372,43861.65846153846,65000,0,1
10174,625,4,0,1
10397,-48,25,0,0
11660,708.0333333333333,6000,0,1
11980,100,8,0,1
12509,33.33333333333333,6,0,1
13006,-28.57142857142857,7,0,0
13059,399.81,50000,0,1
13484,210.126582278481,79000,0,1
13703,1239638200,1,0,1
14055,162.5,8,0,1
14337,5968,7000,0,1
14968,419747562.5,8,0,1
15417,1600,5,0,1
16340,243.33333333333331,30,0,1
17402,-16.666666666666664,6,0,0
18724,445.45454545454544,88000,0,1
20174,278.7878787878788,66000,0,1
22649,525,4,0,1
22717,78.66666666666666,75,0,1
23827,1288938.6666666667,15000,0,1
23947,-64.66666666666666,15000,0,0
26579,137.88386225523294,74050,0,1
28172,16226.530612244898,24500,0,1
28932,0,11,0,0
29047,3486.09,40000,0,1
29231,66,50,0,1
29393,5455.555555555556,90000,0,1
29473,16757.14285714286,70000,0,1
30497,36204.705882352944,85000,0,1
31287,-78.17333333333333,15000,0,0
36095,395,20000,0,1
37672,-83.89830508474576,118,0,0
38415,0,7,0,0
38568,1956.6666666666667,30000,0,1
38794,987.538940809969,64200,0,1
39356,1333.3333333333335,3,0,1
39472,-86.66666666666667,30,0,0
39964,9900,1,0,1
42151,-67.94049756347782,31192,0,0
42296,10053.143333333333,30000,0,1
43228,2339.0243902439024,82000,0,1
43353,6150,16000,0,1
43987,33.33333333333333,3,0,1
46883,517,2500,0,1
47034,2600,5,0,1
47139,87.31506849315068,7300,0,1
47168,-91.66666666666666,12,0,0
47542,1860.1990151826017,48740,0,1
47607,540.7661538461539,65000,0,1
48233,470.2573918709782,24554,0,1
48787,-50,2,0,0
49029,200,1,0,1
50217,2688072.0430107526,93,0,1
50819,-98.83720930232558,344,0,0
51022,1400,10000,0,1
51942,-18.8,250,0,0
53230,-99.83108108108108,592,0,0
53863,196.78571428571428,280,0,1
56969,100,1,0,1
58699,495.50588235294117,17000,0,1
59296,137700,1,0,1
62796,-25,20,0,0
66150,399.6703685677625,45202,0,1
70026,7633.333333333333,3,0,1
70368,693.5127953324476,17311,0,1
70805,-36,450,0,0
73582,-93.84615384615384,130,0,0
78383,99999900,10,0,1
79120,5957.4,8000,0,1
96239,3127.2751665846786,22361,0,1
98203,119.95527728085868,11180,0,1
108923,63.50148367952523,337,0,1
114903,275558300,1,0,1
115873,500,50000,0,1
121173,210.06441223832527,11178,0,1
134474,3788.8888888888887,18000,0,1
161244,0,3,0,0
173689,1500,75000,0,1
193704,-91.8,500,0,0
212769,713.3333333333334,15,0,1
217708,10,10,0,1
218275,0,1,0,0
219343,115.18987341772151,79000,0,1
220002,226.63622526636226,65700,0,1
287859,-20,5,0,0
360203,0,25000,0,0
363093,221568.98,5000,0,1
378348,-90,500,0,0
387845,0,500,0,0
5,7.5,4000000,1,1
15,2664.9074044302497,839727,1,1
27,57.4623,1000000,1,1
55,945.42335,2000000,1,1
64,449.26197050466703,9285469,1,1
71,2100,5000000,1,1
76,121.4162,2500000,1,1
77,341.3677333333333,9000000,1,1
80,492.3190740740741,2700000,1,1
81,230.1446,1000000,1,1
83,41952.27230769231,130000,1,1
88,3465.9045666666666,6000000,1,1
99,720.4771202577857,8272296,1,1
100,188.70881481481482,1350000,1,1
103,2074.0441538461537,1300000,1,1
104,375.00555555555553,1530000,1,1
107,735.57872,10000000,1,1
123,661.7855,4000000,1,1
138,185.12366197183098,355000,1,1
140,705.3396399999999,5000000,1,1
141,-78.82463333333334,6000000,1,0
144,28.000000000000004,2500000,1,1
149,-93.0853625,8000000,1,0
153,2893.0964,4000000,1,1
164,280,2500000,1,1
170,1554.3977,5000000,1,1
173,463.99999999999994,5000000,1,1
176,8559.30575,1200000,1,1
183,137.98166666666668,6000000,1,1
185,1108.590909090909,2200000,1,1
194,1639.2195399999998,10000000,1,1
203,500,500000,1,1
213,231.875,4000000,1,1
214,1538.7681499999999,10000000,1,1
215,3723.127325,4000000,1,1
218,1124.55,6400000,1,1
223,365.8385093167702,1288000,1,1
226,477.03035,2000000,1,1
227,236.97647,10000000,1,1
232,-75.0552,10000000,1,0
235,553.592675,8000000,1,1
236,403.9879666666667,3000000,1,1
237,-60.9375,6400000,1,0
238,3984.4401833333336,6000000,1,1
239,766.8972844615944,2883848,1,1
244,1388.095238095238,672000,1,1
248,72.41379310344827,2900000,1,1
252,33.33333333333333,3000000,1,1
253,2211.111942857143,7000000,1,1
261,485.67746666666665,3000000,1,1
266,-41.285777777777774,900000,1,0
275,765.8853571428572,7000000,1,1
284,733.3333333333333,3000000,1,1
287,626.9714285714285,7000000,1,1
288,995.890410958904,730000,1,1
289,1091.6287015945331,878000,1,1
290,-31.622899999999998,9000000,1,0
291,21.76923076923077,2600000,1,1
